session_id,participant_code,participant_type,age_group,language,mfa_before,mfa_after,screen_lock_before,screen_lock_after,bank_limit_before,bank_limit_after,scam_quiz_score_before,scam_quiz_score_after,used_public_wifi,has_home_wifi_issues,scanned_unknown_qr,used_public_qr_for_payment,installed_unknown_apps,os_out_of_date,inserted_unknown_usb,used_public_usb_charger,shares_device_without_lock,password_reuse,has_password_manager,fell_for_social_link_or_call,risk_score_before,risk_score_after,risk_category_before,risk_category_after,date,notes
2025-11-15,P001,senior,61,en,1,1,1,1,0,0,0,2,1,1,0,0,1,1,0,0,1,1,0,0,8,8,high,high,2025-11-15,synthetic sample row
2025-11-15,P002,senior,68,en,0,1,0,1,0,1,5,5,1,0,1,1,0,1,0,0,1,0,0,0,9,5,high,medium,2025-11-15,synthetic sample row
2025-11-15,P003,senior,55,en,0,1,1,1,0,0,3,5,0,0,0,0,0,1,1,0,0,0,0,0,5,3,medium,low,2025-11-15,synthetic sample row
2025-11-15,P004,senior,59,en,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,10,8,high,high,2025-11-15,synthetic sample row
2025-11-15,P005,senior,66,en,0,1,0,1,0,0,2,5,0,1,0,1,0,1,0,0,1,1,0,0,10,6,high,medium,2025-11-15,synthetic sample row
2025-11-15,P006,senior,57,en,1,1,0,1,1,1,4,4,0,1,0,1,0,1,1,0,1,1,0,1,8,7,high,medium,2025-11-15,synthetic sample row
2025-11-15,P007,senior,60,en,1,1,1,1,0,1,1,4,0,0,1,0,0,0,0,0,0,0,1,0,3,1,low,low,2025-11-15,synthetic sample row
2025-11-15,P008,senior,61,en,1,1,0,1,0,0,2,3,0,1,1,1,1,1,0,0,1,0,0,0,9,7,high,medium,2025-11-15,synthetic sample row
2025-11-15,P009,senior,64,en,1,1,1,1,0,0,5,5,1,0,0,1,0,1,0,0,0,0,0,1,5,5,medium,medium,2025-11-15,synthetic sample row
2025-11-15,P010,senior,69,en,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,9,6,high,medium,2025-11-15,synthetic sample row
2025-11-15,P011,senior,57,en,0,0,1,1,0,0,2,3,1,1,0,1,1,0,1,0,1,0,0,0,10,10,high,high,2025-11-15,synthetic sample row
2025-11-15,P012,senior,56,en,1,1,1,1,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,1,3,2,low,low,2025-11-15,synthetic sample row
2025-11-15,P013,senior,56,en,0,1,0,0,0,1,5,5,1,0,1,0,0,1,0,0,1,0,0,0,8,5,high,medium,2025-11-15,synthetic sample row
2025-11-15,P014,senior,62,en,1,1,0,1,0,0,3,5,0,0,1,1,0,0,0,1,0,1,0,1,8,7,high,medium,2025-11-15,synthetic sample row
2025-11-15,P015,senior,68,en,0,1,1,1,1,1,2,3,1,0,1,0,0,0,0,0,0,1,0,1,8,5,high,medium,2025-11-15,synthetic sample row
2025-11-15,P016,senior,55,en,0,1,0,0,0,1,2,5,1,0,1,1,1,0,1,0,0,0,0,1,10,8,high,high,2025-11-15,synthetic sample row
2025-11-15,P017,senior,69,en,0,1,1,1,1,1,4,5,0,0,1,0,0,0,1,1,1,1,0,1,9,7,high,medium,2025-11-15,synthetic sample row
2025-11-15,P018,senior,55,en,0,0,1,1,0,1,5,5,0,0,0,1,0,1,0,0,1,1,0,1,8,7,high,medium,2025-11-15,synthetic sample row
2025-11-15,P019,senior,59,en,0,1,1,1,1,1,3,5,0,0,1,0,0,0,1,1,0,1,0,1,8,6,high,medium,2025-11-15,synthetic sample row
2025-11-15,P020,senior,61,en,1,1,0,0,0,0,5,5,0,1,0,1,0,0,1,1,0,0,0,1,8,8,high,high,2025-11-15,synthetic sample row
2025-11-15,P021,senior,70,en,1,1,0,0,0,1,1,2,0,1,0,0,1,1,0,0,0,1,0,1,8,7,high,medium,2025-11-15,synthetic sample row
2025-11-15,P022,senior,67,en,1,1,0,0,0,1,4,5,1,1,0,1,0,0,0,1,0,1,1,0,7,6,medium,medium,2025-11-15,synthetic sample row
