participant_code,participant_type,age_group,language,mfa_before,mfa_after,screen_lock_before,screen_lock_after,bank_limit_before,bank_limit_after,scam_quiz_score_before,scam_quiz_score_after,used_public_wifi,scanned_unknown_qr,inserted_unknown_usb,fell_for_social_link,risk_score_before,risk_score_after
P1001,senior citizen,50-60,telugu,1,1,0,1,0,1,0,2,1,1,1,1,11,3
P1002,senior citizen,50-60,telugu,0,1,0,1,1,1,0,1,1,1,0,0,10,3
P1003,senior citizen,50-60,english,0,0,0,1,1,1,0,3,0,1,0,1,10,6
P1004,senior citizen,61-70,english,0,1,0,1,1,1,1,4,0,1,1,1,11,3
P1005,senior citizen,50-60,english,0,0,1,1,1,1,1,4,0,1,1,1,9,6
P1006,senior citizen,71-80,telugu,1,1,0,1,1,1,1,3,0,0,0,1,6,3
P1007,senior citizen,50-60,telugu,1,1,1,1,1,1,2,5,0,0,1,1,5,3
P1008,senior citizen,71-80,hindi,0,1,0,0,1,1,1,3,1,1,0,1,11,5
P1009,senior citizen,61-70,telugu,0,0,0,0,1,1,0,3,1,1,1,1,12,8
P1010,senior citizen,71-80,hindi,1,1,0,1,1,1,1,4,1,0,0,1,7,3
P1011,senior citizen,50-60,english,0,1,0,1,0,1,2,5,0,1,1,0,12,3
P1012,senior citizen,50-60,hindi,1,1,0,0,1,1,1,3,1,0,1,0,7,5
P1013,engineering student,18-25,hindi,1,1,1,1,0,0,2,5,0,0,0,0,5,5
P1014,engineering student,31-35,hindi,0,1,1,1,1,1,3,4,1,1,0,0,8,3
P1015,engineering student,31-35,english,1,1,1,1,1,1,1,2,0,1,1,1,6,3
P1016,engineering student,18-25,telugu,1,1,1,1,0,0,2,4,1,1,0,1,8,5
P1017,engineering student,26-30,english,1,1,1,1,0,1,1,3,0,1,1,0,7,3
P1018,engineering student,31-35,telugu,0,1,1,1,1,1,2,5,0,1,1,0,8,3
P1019,engineering student,18-25,english,1,1,1,1,0,0,2,4,0,0,0,0,5,5
P1020,engineering student,18-25,telugu,0,1,1,1,0,1,3,5,0,0,0,1,9,3
P1021,engineering student,18-25,hindi,1,1,1,1,0,1,2,4,1,1,0,0,7,3
P1022,engineering student,26-30,english,1,1,1,1,1,1,1,4,0,0,1,0,4,3
P1023,engineering student,26-30,english,1,1,1,1,0,0,3,5,0,0,1,0,6,5
P1024,engineering student,26-30,english,1,1,1,1,1,1,2,4,0,1,1,1,6,3
P1025,engineering student,31-35,english,1,1,1,1,1,1,1,4,1,1,0,1,6,3
P1026,engineering student,26-30,hindi,1,1,1,1,1,1,1,4,1,0,0,1,5,3
P1027,engineering student,18-25,english,1,1,1,1,0,0,2,5,1,0,1,0,7,5
P1028,engineering student,18-25,english,1,1,1,1,0,1,2,3,1,1,0,1,8,3
P1029,engineering student,26-30,hindi,1,1,1,1,0,0,1,4,1,1,0,0,7,5
P1030,engineering student,18-25,english,0,1,1,1,1,1,3,5,0,0,1,0,7,3
P1031,engineering student,18-25,telugu,1,1,1,1,1,1,1,4,1,1,0,0,5,3
P1032,engineering student,31-35,telugu,0,1,1,1,0,0,1,2,0,0,0,0,8,5
P1033,engineering student,18-25,english,1,1,1,1,1,1,3,5,0,0,0,0,3,3
P1034,engineering student,31-35,telugu,1,1,1,1,0,1,1,3,1,0,1,0,7,3
P1035,engineering student,18-25,telugu,1,1,1,1,0,1,1,2,1,0,1,1,8,3
P1036,engineering student,26-30,telugu,0,1,1,1,0,1,2,5,1,0,0,0,9,3
P1037,engineering student,26-30,english,0,1,1,1,1,1,1,3,0,1,0,1,8,3
